"","TRACTCE10","NAME10"
"0","031500","315"
"1","031701","317.01"
"2","031702","317.02"
"3","031900","319"
"4","032100","321"
"5","032300","323"
"6","032500","325"
"7","032600","326"
"8","032700","327"
"9","032800","328"
"10","032900","329"
"11","033000","330"
"12","033100","331"
"13","033300","333"
"14","033500","335"
"15","033600","336"
"16","033700","337"
"17","033900","339"
"18","034000","340"
"19","034100","341"
"20","034200","342"
"21","034300","343"
"22","034500","345"
"23","034700","347"
"24","034900","349"
"25","035000","350"
"26","035100","351"
"27","053400","534"
"28","053500","535"
"29","053700","537"
"30","053800","538"
"31","053900","539"
"32","054200","542"
"33","054300","543"
"34","054400","544"
"35","054500","545"
"36","054700","547"
"37","054800","548"
"38","054900","549"
"39","055000","550"
"40","055100","551"
"41","055200","552"
"42","055300","553"
"43","055400","554"
"44","055500","555"
"45","055600","556"
"46","055700","557"
"47","055800","558"
"48","056000","560"
"49","056200","562"
"50","056300","563"
"51","056400","564"
"52","048600","486"
"53","048800","488"
"54","048900","489"
"55","049000","490"
"56","049100","491"
"57","049200","492"
"58","066600","666"
"59","075800","758"
"60","000100","1"
"61","000200","2"
"62","000301","3.01"
"63","000700","7"
"64","000900","9"
"65","001100","11"
"66","001300","13"
"67","001800","18"
"68","002000","20"
"69","002100","21"
"70","018800","188"
"71","019000","190"
"72","019100","191"
"73","019200","192"
"74","019300","193"
"75","019400","194"
"76","019500","195"
"77","019600","196"
"78","019700","197"
"79","019800","198"
"80","019900","199"
"81","020000","200"
"82","020100","201"
"83","020200","202"
"84","020300","203"
"85","020400","204"
"86","020500","205"
"87","020600","206"
"88","020700","207"
"89","020800","208"
"90","021000","210"
"91","021200","212"
"92","021300","213"
"93","021400","214"
"94","021500","215"
"95","021600","216"
"96","021700","217"
"97","021800","218"
"98","093000","930"
"99","093400","934"
"100","093600","936"
"101","093800","938"
"102","094401","944.01"
"103","094402","944.02"
"104","095000","950"
"105","095400","954"
"106","095600","956"
"107","095800","958"
"108","096000","960"
"109","096200","962"
"110","096400","964"
"111","096600","966"
"112","096800","968"
"113","097000","970"
"114","097400","974"
"115","098200","982"
"116","098400","984"
"117","098600","986"
"118","098800","988"
"119","099000","990"
"120","099200","992"
"121","099400","994"
"122","099600","996"
"123","074600","746"
"124","074800","748"
"125","075000","750"
"126","075200","752"
"127","075400","754"
"128","075600","756"
"129","076000","760"
"130","076200","762"
"131","076400","764"
"132","076600","766"
"133","077000","770"
"134","077200","772"
"135","077400","774"
"136","077600","776"
"137","078000","780"
"138","078200","782"
"139","078400","784"
"140","078600","786"
"141","078800","788"
"142","079000","790"
"143","079200","792"
"144","079400","794"
"145","080000","800"
"146","080200","802"
"147","080400","804"
"148","080600","806"
"149","035200","352"
"150","035300","353"
"151","035400","354"
"152","035500","355"
"153","035700","357"
"154","035900","359"
"155","036001","360.01"
"156","036002","360.02"
"157","036100","361"
"158","036200","362"
"159","036300","363"
"160","036400","364"
"161","036501","365.01"
"162","036502","365.02"
"163","036600","366"
"164","036700","367"
"165","036900","369"
"166","037000","370"
"167","037100","371"
"168","037300","373"
"169","037500","375"
"170","037700","377"
"171","056500","565"
"172","056600","566"
"173","056800","568"
"174","056900","569"
"175","057000","570"
"176","057100","571"
"177","057200","572"
"178","057300","573"
"179","057400","574"
"180","057500","575"
"181","057600","576"
"182","057800","578"
"183","057900","579"
"184","058000","580"
"185","058200","582"
"186","058400","584"
"187","058600","586"
"188","058800","588"
"189","058900","589"
"190","059000","590"
"191","059100","591"
"192","059200","592"
"193","059300","593"
"194","059401","594.01"
"195","059402","594.02"
"196","002200","22"
"197","002300","23"
"198","002901","29.01"
"199","003000","30"
"200","003100","31"
"201","003300","33"
"202","003400","34"
"203","003500","35"
"204","003600","36"
"205","003700","37"
"206","003800","38"
"207","003900","39"
"208","004100","41"
"209","004300","43"
"210","004500","45"
"211","004700","47"
"212","060600","606"
"213","004900","49"
"214","005000","50"
"215","005100","51"
"216","005201","52.01"
"217","005202","52.02"
"218","005400","54"
"219","021900","219"
"220","022000","220"
"221","022100","221"
"222","022200","222"
"223","022400","224"
"224","022600","226"
"225","022700","227"
"226","022800","228"
"227","022900","229"
"228","023000","230"
"229","023100","231"
"230","023200","232"
"231","023300","233"
"232","023400","234"
"233","023500","235"
"234","023600","236"
"235","023800","238"
"236","024000","240"
"237","024100","241"
"238","024200","242"
"239","024300","243"
"240","024400","244"
"241","024500","245"
"242","024600","246"
"243","024700","247"
"244","024800","248"
"245","024900","249"
"246","099800","998"
"247","100400","1004"
"248","100600","1006"
"249","100800","1008"
"250","101000","1010"
"251","101200","1012"
"252","101400","1014"
"253","101600","1016"
"254","101800","1018"
"255","102000","1020"
"256","102200","1022"
"257","102400","1024"
"258","102600","1026"
"259","102800","1028"
"260","103400","1034"
"261","107000","1070"
"262","107800","1078"
"263","109800","1098"
"264","110600","1106"
"265","111000","1110"
"266","111800","1118"
"267","112000","1120"
"268","112200","1122"
"269","112400","1124"
"270","081000","810"
"271","081400","814"
"272","081600","816"
"273","081800","818"
"274","114400","1144"
"275","011900","119"
"276","015200","152"
"277","016600","166"
"278","021100","211"
"279","048500","485"
"280","056100","561"
"281","062000","620"
"282","080800","808"
"283","092400","924"
"284","093200","932"
"285","110400","1104"
"286","111600","1116"
"287","123700","1237"
"288","150200","1502"
"289","004400","44"
"290","005300","53"
"291","037900","379"
"292","038100","381"
"293","038200","382"
"294","038300","383"
"295","038500","385"
"296","038600","386"
"297","038700","387"
"298","038800","388"
"299","038900","389"
"300","039000","390"
"301","039100","391"
"302","039200","392"
"303","039300","393"
"304","039400","394"
"305","039500","395"
"306","039600","396"
"307","039700","397"
"308","039800","398"
"309","039900","399"
"310","040000","400"
"311","040100","401"
"312","040200","402"
"313","040300","403"
"314","059600","596"
"315","059800","598"
"316","119000","1190"
"317","060000","600"
"318","060800","608"
"319","062800","628"
"320","061200","612"
"321","062200","622"
"322","062600","626"
"323","063200","632"
"324","063600","636"
"325","063800","638"
"326","064000","640"
"327","064200","642"
"328","064400","644"
"329","064600","646"
"330","064800","648"
"331","065000","650"
"332","065200","652"
"333","065400","654"
"334","065600","656"
"335","065800","658"
"336","066000","660"
"337","005601","56.01"
"338","005602","56.02"
"339","005800","58"
"340","005900","59"
"341","006000","60"
"342","006200","62"
"343","006300","63"
"344","006400","64"
"345","006500","65"
"346","006600","66"
"347","006700","67"
"348","006800","68"
"349","006900","69"
"350","007000","70"
"351","007100","71"
"352","007200","72"
"353","007400","74"
"354","007500","75"
"355","007600","76"
"356","007700","77"
"357","007800","78"
"358","008000","80"
"359","008200","82"
"360","008400","84"
"361","008500","85"
"362","025000","250"
"363","025100","251"
"364","025200","252"
"365","025300","253"
"366","025400","254"
"367","025500","255"
"368","025600","256"
"369","025700","257"
"370","025800","258"
"371","025901","259.01"
"372","025902","259.02"
"373","026000","260"
"374","026100","261"
"375","026200","262"
"376","026300","263"
"377","026400","264"
"378","026500","265"
"379","026600","266"
"380","026700","267"
"381","026800","268"
"382","026900","269"
"383","027000","270"
"384","027200","272"
"385","027300","273"
"386","027400","274"
"387","027500","275"
"388","027600","276"
"389","027700","277"
"390","112600","1126"
"391","112800","1128"
"392","113000","1130"
"393","113200","1132"
"394","113400","1134"
"395","114201","1142.01"
"396","114202","1142.02"
"397","114600","1146"
"398","115000","1150"
"399","115200","1152"
"400","115600","1156"
"401","115800","1158"
"402","116000","1160"
"403","116200","1162"
"404","116400","1164"
"405","116600","1166"
"406","116800","1168"
"407","117000","1170"
"408","117201","1172.01"
"409","117202","1172.02"
"410","117400","1174"
"411","117601","1176.01"
"412","117602","1176.02"
"413","117800","1178"
"414","118000","1180"
"415","012600","126"
"416","027100","271"
"417","030500","305"
"418","034800","348"
"419","044900","449"
"420","046000","460"
"421","076800","768"
"422","094600","946"
"423","105804","1058.04"
"424","119800","1198"
"425","152200","1522"
"426","000501","5.01"
"427","000502","5.02"
"428","001500","15"
"429","035601","356.01"
"430","035602","356.02"
"431","037401","374.01"
"432","037402","374.02"
"433","050801","508.01"
"434","050803","508.03"
"435","050804","508.04"
"436","051001","510.01"
"437","028200","282"
"438","028300","283"
"439","028400","284"
"440","028501","285.01"
"441","028502","285.02"
"442","028600","286"
"443","028700","287"
"444","028800","288"
"445","028900","289"
"446","029000","290"
"447","029100","291"
"448","029200","292"
"449","029300","293"
"450","029400","294"
"451","029500","295"
"452","029600","296"
"453","029700","297"
"454","029800","298"
"455","029900","299"
"456","030000","300"
"457","030100","301"
"458","030200","302"
"459","030300","303"
"460","030400","304"
"461","030600","306"
"462","030700","307"
"463","030800","308"
"464","030900","309"
"465","031100","311"
"466","031300","313"
"467","031400","314"
"468","040400","404"
"469","040500","405"
"470","040600","406"
"471","040700","407"
"472","040800","408"
"473","040900","409"
"474","041000","410"
"475","041100","411"
"476","041200","412"
"477","041300","413"
"478","041401","414.01"
"479","041402","414.02"
"480","041500","415"
"481","041600","416"
"482","041700","417"
"483","041800","418"
"484","041900","419"
"485","049300","493"
"486","049400","494"
"487","049500","495"
"488","049600","496"
"489","049700","497"
"490","049800","498"
"491","049900","499"
"492","050000","500"
"493","050100","501"
"494","050202","502.02"
"495","066200","662"
"496","067000","670"
"497","042000","420"
"498","042100","421"
"499","042200","422"
"500","042300","423"
