"","STATEFP10","COUNTYFP10","TRACTCE10","GEOID10","NAME10","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"0","36","047","031500","36047031500","315","Census Tract 315","G5020","S",179759,0,"+40.6769054","-073.9499241"
"1","36","047","031701","36047031701","317.01","Census Tract 317.01","G5020","S",139741,0,"+40.6738669","-073.9501241"
"2","36","047","031702","36047031702","317.02","Census Tract 317.02","G5020","S",139786,0,"+40.6711930","-073.9503750"
"3","36","047","031900","36047031900","319","Census Tract 319","G5020","S",151345,0,"+40.6668852","-073.9493978"
"4","36","047","032100","36047032100","321","Census Tract 321","G5020","S",160096,0,"+40.6668692","-073.9521834"
"5","36","047","032300","36047032300","323","Census Tract 323","G5020","S",173047,0,"+40.6665474","-073.9550745"
"6","36","047","032500","36047032500","325","Census Tract 325","G5020","S",168410,0,"+40.6672983","-073.9577655"
"7","36","047","032600","36047032600","326","Census Tract 326","G5020","S",329022,0,"+40.5765299","-073.9882138"
"8","36","047","032700","36047032700","327","Census Tract 327","G5020","S",177080,0,"+40.6626465","-073.9587961"
"9","36","047","032800","36047032800","328","Census Tract 328","G5020","S",232840,0,"+40.5763672","-073.9976847"
"10","36","047","032900","36047032900","329","Census Tract 329","G5020","S",156418,0,"+40.6632636","-073.9484196"
"11","36","047","033000","36047033000","330","Census Tract 330","G5020","S",338556,152595,"+40.5801748","-073.9994611"
"12","36","047","033100","36047033100","331","Census Tract 331","G5020","S",142464,0,"+40.6641582","-073.9420074"
"13","36","047","033300","36047033300","333","Census Tract 333","G5020","S",186338,0,"+40.6658373","-073.9425263"
"14","36","047","033500","36047033500","335","Census Tract 335","G5020","S",180682,0,"+40.6675941","-073.9423885"
"15","36","047","033600","36047033600","336","Census Tract 336","G5020","S",677706,1096302,"+40.5759939","-074.0085888"
"16","36","047","033700","36047033700","337","Census Tract 337","G5020","S",197590,0,"+40.6694017","-073.9421815"
"17","36","047","033900","36047033900","339","Census Tract 339","G5020","S",180739,0,"+40.6712119","-073.9420151"
"18","36","047","034000","36047034000","340","Census Tract 340","G5020","S",129694,0,"+40.5723223","-073.9964764"
"19","36","047","034100","36047034100","341","Census Tract 341","G5020","S",139771,0,"+40.6735662","-073.9445868"
"20","36","047","034200","36047034200","342","Census Tract 342","G5020","S",229959,0,"+40.5741077","-073.9968627"
"21","36","047","034300","36047034300","343","Census Tract 343","G5020","S",162149,0,"+40.6735030","-073.9388377"
"22","36","047","034500","36047034500","345","Census Tract 345","G5020","S",163599,0,"+40.6732279","-073.9336927"
"23","36","047","034700","36047034700","347","Census Tract 347","G5020","S",139778,0,"+40.6726583","-073.9279722"
"24","36","047","034900","36047034900","349","Census Tract 349","G5020","S",163209,0,"+40.6682771","-073.9297783"
"25","36","047","035000","36047035000","350","Census Tract 350","G5020","S",196319,0,"+40.5775689","-073.9789089"
"26","36","047","035100","36047035100","351","Census Tract 351","G5020","S",163012,0,"+40.6684292","-073.9325474"
"27","36","047","053400","36047053400","534","Census Tract 534","G5020","S",173380,0,"+40.6225826","-073.9628302"
"28","36","047","053500","36047053500","535","Census Tract 535","G5020","S",129701,0,"+40.7061428","-073.9612325"
"29","36","047","053700","36047053700","537","Census Tract 537","G5020","S",167461,0,"+40.7002982","-073.9599545"
"30","36","047","053800","36047053800","538","Census Tract 538","G5020","S",164451,0,"+40.6181982","-073.9568350"
"31","36","047","053900","36047053900","539","Census Tract 539","G5020","S",101379,0,"+40.7026477","-073.9625587"
